time,left_eye,right_eye,lips,head_h,head_v,head_slope,planar_angle,lip_sum,lip_ratio,abs_mov 
5293,0.00861790713416316,0,0.005201402865630755,3.0,1.0,4.0,0.0030765627635366832,0.9149497340969788,0.005201402865630755,0
5294,0.007809689282647192,0,0.0008459772630508011,2.0,0.0,2.0,0.0,0.09015217391595343,0.0008459772630508011,0
5295,0.028249179562774507,0,0.004332859263664002,1.0,2.0,3.0,0.0029538655283440976,0.9999474057907207,0.004332859263664002,0
5296,0.027675310735877312,0,0.0069330245235328936,6.0,3.0,9.0,0.011340523252745427,2.0967576147990314,0.0069330245235328936,0
5297,0.018463310496559526,0,0.022022605377202076,2.0,1.0,1.0,0.00571284695953192,4.9773654624382,0.022022605377202076,0
5298,0.02149841206905112,0,0.003104843504068533,1.0,0.0,1.0,0.002934263879195556,1.1146149348496692,0.003104843504068533,0
5299,0.007236711856590694,0,0.002900385063782429,1.0,1.0,2.0,0.002795754928939971,3.1066971736674134,0.002900385063782429,0
5300,0.009399414585291699,0,0.001152435639269922,1.0,1.0,0.0,0.002504082194030019,0.11178625700918587,0.001152435639269922,0
5301,0.008276354364291638,0,0.005481397059103776,2.0,0.0,2.0,0.0002916727349099521,0.8882137429908141,0.005481397059103776,1
5302,0.03255894368971862,0,0.0011871566888482787,1.0,0.0,1.0,0.002934263879195556,0.10657806495325417,0.0011871566888482787,0
5303,0.04169265996532168,0,0.009147033298836538,0.0,1.0,1.0,0.0001376983708446522,0.88550417386449,0.009147033298836538,0
5304,0.02241886084906164,0,0.0011939055713509061,3.0,1.0,2.0,0.002797376073830883,0.11461493484966923,0.0011939055713509061,0
5305,0.022026900798750637,0,0.006046698499931946,0.0,2.0,2.0,0.0002574996724304737,1.9949109166582275,0.006046698499931946,0
5306,0.021284323259965543,0,0.030784982256647497,2.0,1.0,1.0,0.00012837299988598116,2.986143278894815,0.030784982256647497,0
5307,0.003648046837339658,0,0.025326364878995034,2.0,0.0,2.0,0.00025599890214591386,3.869148829829726,0.025326364878995034,0
5308,0.02111207502365975,0,0.0011643770073969661,1.0,1.0,0.0,0.002791102047938032,0.11178625700915745,0.0011643770073969661,0
5309,0.0034363060740764118,0,0.0031418047309855757,1.0,2.0,1.0,0.0029194255746863296,1.1065780649532542,0.0031418047309855757,0
5310,0.003476020959811421,0,0.029608889621004886,0.0,0.0,0.0,0.0,2.879511524107812,0.029608889621004886,0
5311,0.02213285086441924,0,0.016101424710233903,1.0,1.0,0.0,0.0030222448038271094,2.9909322254526955,0.016101424710233903,0
5312,0.007933102874647324,0,0.002487443970034031,2.0,0.0,2.0,0.0,3.101805832978272,0.002487443970034031,0
5313,0.016909299199799,0,0.006338672031838077,1.0,1.0,2.0,0.0030053073992418466,0.8255326291306915,0.006338672031838077,0
5314,0.027709488382880232,0,0.03535941854168417,1.0,3.0,4.0,0.0028195891478571718,4.912158245158281,0.03535941854168417,1
5315,0.0006902068609010437,0,0.033843235991177945,0.0,1.0,1.0,8.467974101347003e-05,1.9151776908917384,0.033843235991177945,0
5316,0.010289639791362326,0,0.0015161825505062287,0.0,1.0,1.0,8.418925725249202e-05,2.9969805542665426,0.0015161825505062287,0
5317,0.0024269852045818996,0,0.02683736345259463,1.0,1.0,0.0,0.0028205701071195646,4.0555520839807855,0.02683736345259463,0
5318,0.010339234179241874,0,0.015042258964860888,0.0,1.0,1.0,7.578245369332937e-05,0.06130418778846547,0.015042258964860888,0
5319,0.02081125244615345,0,0.0050824207935679655,1.0,2.0,1.0,0.0028967903052904663,1.92315884618327,0.0050824207935679655,0
5320,0.02153184956438947,0,0.0023241406430148936,0.0,0.0,0.0,0.0,3.994753100833151,0.0023241406430148936,0
5321,0.0,0,0.014296922097503884,1.0,0.0,1.0,0.0028967903052904663,0.004791104609495278,0.014296922097503884,0
5322,0.007191651856423953,0,0.010154138348251018,0.0,1.0,1.0,0.005735012033309339,0.9951573636083992,0.010154138348251018,0
5323,0.013747112034608377,0,0.007568600454281982,1.0,2.0,1.0,0.0029059371817422436,2.071431078970903,0.007568600454281982,0
5324,0.007402257389775513,0,0.00423892343406812,1.0,1.0,2.0,0.002846979387169806,0.9843234289597547,0.00423892343406812,0
5325,0.003009223762281854,0,0.00675883404782357,1.0,1.0,0.0,0.002846979387169806,2.097569144349393,0.00675883404782357,0
5326,0.0019014022108151396,0,0.0008676791837549658,1.0,1.0,0.0,0.002948353010201535,0.08505026590304965,0.0008676791837549658,0
5327,0.0026752158812938243,0,0.0007445091863355069,1.0,0.0,1.0,0.0028978122238290556,2.9096820631856986,0.0007445091863355069,0
5328,0.0182018887660223,0,0.01006590097222404,1.0,1.0,0.0,0.002939690024387858,1.8500412699983428,0.01006590097222404,0
5329,0.01427404870028759,0,0.01600889844701131,2.0,1.0,3.0,4.187780055880247e-05,0.1449013861489732,0.01600889844701131,0
5330,0.022136703287068016,0,0.018624225175974618,0.0,0.0,0.0,0.0,1.0044262299924753,0.018624225175974618,0
5331,0.017827489446973765,0,0.011841485103455063,0.0,0.0,0.0,8.351428075076273e-05,3.1021520115666874,0.011841485103455063,0
5332,0.010879425623596839,0,0.004306903080000812,1.0,1.0,0.0,0.0028480461293426077,0.9999463101662514,0.004306903080000812,0
5333,0.01412051154925631,0,0.005214773036868514,1.0,0.0,1.0,0.002889682609534568,0.912786065945852,0.005214773036868514,0
5334,0.01031914600451117,0,0.004998249567475133,1.0,2.0,3.0,0.002889682609534568,1.9255152714507915,0.004998249567475133,0
